1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
1;1.944444444;2.916666667;3.888888889;5;5.833333333;7;7;8.75;8.75;8.75;11.66666667;11.66666667;11.66666667;11.66666667;11.66666667;11.66666667;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;17.5;35
1;1;1.953719008;1.953719008;2.930578512;2.930578512;3.516694215;3.516694215;4.395867769;4.395867769;5.861157025;5.861157025;5.861157025;5.861157025;5.861157025;5.861157025;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;11.10438413;11.10438413;17.58347107
1;1.480172534;2.349381625;2.854306413;4.06185567;4.069625096;4.23655914;4.243318708;4.419609472;4.425124792;5.861157025;5.861157025;5.861157025;5.861157025;6.210157618;6.213785047;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.791735537;8.799007444;8.806291391;9.601083032;9.609756098;11.10438413;11.10438413;17.58347107
1;1.948952327;1.948952327;2.923222949;3.89735658;3.89735658;4.677354033;5.84521299;5.84521299;5.847679325;7.794713161;7.794713161;7.794713161;7.794713161;7.794713161;7.794713161;11.68549747;11.68549747;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;16.83961118;23.37099494
1;1.948952327;2.339861557;3.421130585;4.380214918;4.382985452;4.677354033;5.84521299;5.84521299;5.847679325;7.794713161;7.794713161;7.794713161;7.794713161;7.794713161;8.254318046;11.68549747;11.68549747;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;11.69535865;12.76151013;12.77327189;16.83961118;23.37099494
1;1;1;1.935261708;1.935261708;1.935261708;2.902892562;2.902892562;2.902892562;3.870523416;3.870523416;3.870523416;3.870523416;3.870523416;3.870523416;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;7.205128205;7.205128205;7.205128205;11.61157025;11.61157025
1;1.497548497;1.963936259;2.906495656;3.676085819;3.685729276;4.120234604;4.127497062;4.134785168;4.387882573;4.393370857;4.398872887;4.404388715;4.409918393;4.415461974;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.805785124;5.815397351;5.815397351;5.815397351;6.345980126;6.345980126;6.345980126;6.983101392;6.983101392;6.983101392;8.04696449;8.04696449;8.04696449;11.61157025;11.61157025
;1;;1.497548497;;1.497867804;;2.683346066;;2.91252073;;2.91252073;;4.10578609;;4.368781095;;4.368781095;;5.366692131;;5.825041459;;5.825041459;;5.825041459;;5.825041459;;5.825041459;;7.753863135;;8.737562189;
1;1.050949051;1.098579783;1.296205027;1.4930457;1.662978185;2.053885201;2.256542257;2.534939759;2.683673469;2.87431694;2.898071625;3.101415094;3.101415094;3.327008223;3.893412287;4.293877551;4.347107438;4.347107438;4.347107438;4.347107438;4.347107438;4.347107438;4.347107438;4.357912179;4.357912179;4.357912179;4.357912179;4.834558824;4.834558824;6.144859813;6.144859813;7.137042062;8.389154705;8.694214876
1;1.22467986;1.357069143;1.726288152;1.804459691;1.908563135;2.230703986;2.365107914;2.665990877;2.829478214;3.042220937;3.068844807;3.105076741;3.105076741;3.333333333;3.893412287;4.293877551;4.347107438;4.347107438;4.347107438;4.347107438;4.347107438;4.347107438;4.347107438;4.361525705;4.755877034;4.755877034;4.755877034;5.334685598;5.334685598;6.152046784;6.152046784;7.137042062;8.389154705;8.694214876